SEQ_ID,UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,LOCALE
252,110778,2267600,22676,Sofia University,Palo Alto,CA,www.sofia.edu,www.sofia.edu/admissions/loancalculator.php,13
253,110875,2065700,20657,California Beauty School,Modesto,CA,www.calbeautycollege.com,www.calbeautycollege.com,12
254,110918,884400,8844,California Christian College,Fresno,CA,www.calchristiancollege.edu,www.calchristiancollege.edu/financial-aid/calculator,11
255,110945,2110800,21108,California College San Diego,San Diego,CA,www.cc-sd.edu,cc-sd.studentaidcalculator.com/survey.aspx,11
256,111009,2220200,22202,Le Cordon Bleu College of Culinary Arts-San Francisco,San Francisco,CA,www.caculinary.edu,chefs.studentaidcalculator.com,11
257,111054,1186500,11865,California Hair Design Academy,La Mesa,CA,chdaschools.com,chdaschools.com,21
258,111081,113200,1132,California Institute of the Arts,Valencia,CA,www.calarts.edu,www.calarts.edu,21
259,111188,113400,1134,California Maritime Academy,Vallejo,CA,www.csum.edu,www.csum.edu/web/admissions/financial-aid,12
260,111391,1310300,13103,California Western School of Law,San Diego,CA,www.cwsl.edu,www.cwsl.edu,11
261,111434,697300,6973,Canada College,Redwood City,CA,canadacollege.edu,webprod.cccco.edu/npc/371/npcalc.htm,21
262,111461,890300,8903,College of the Canyons,Santa Clarita,CA,www.canyons.edu,www.canyons.edu/offices/FinAid/netcalc.asp,21
263,111513,2125000,21250,Career Academy of Beauty,Garden Grove,CA,CAofB.com,caofb.com,21
264,111638,673100,6731,Casa Loma College-Van Nuys,Van Nuys,CA,www.casalomacollege.edu,casalomacollege.studentaidcalculator.com/survey.aspx,11
265,111708,2332809,23328,CET-San Diego,San Diego,CA,www.cetweb.org/index.php,cetweb.org/for-students/financial-aid/net-price-calculator/,11
266,111717,2332800,23328,CET-Sobrato,San Jose,CA,cetweb.org,cetweb.org,11
267,111726,2332810,23328,CET-El Centro,El Centro,CA,cetweb.org,cetweb.org,13
268,111744,2332814,23328,CET-San Bernardino,San Bernardino,CA,cetweb.org,cetweb.org,12
269,111762,2332819,23328,CET-Watsonville,Watsonville,CA,www.cetweb.org,cetweb.org/for-students/financial-aid/net-price-calculator/,13
270,111771,2332808,23328,CET-Gilroy,Gilroy,CA,cetweb.org,cetweb.org,23
271,111799,2332813,23328,CET-Salinas,Salinas,CA,cetweb.org,cetweb.org,12
272,111887,116100,1161,Cerritos College,Norwalk,CA,www.cerritos.edu,webprod.cccco.edu/npc/811/npcalc.htm,21
273,111896,1011100,10111,Cerro Coso Community College,Ridgecrest,CA,cerrocoso.edu,webprod.cccco.edu/npc/522/npcalc.htm,41
274,111920,116200,1162,Chabot College,Hayward,CA,www.chabotcollege.edu,webprod.cccco.edu/npc/482/npcalc.htm,12
275,111939,116300,1163,Chaffey College,Rancho Cucamonga,CA,www.chaffey.edu,www.chaffey.edu/finaid/Links.shtml,21
276,111948,116400,1164,Chapman University,Orange,CA,www.chapman.edu,www.chapman.edu/finaid/orangeUG/,12
277,111966,1036500,10365,Charles R Drew University of Medicine and Science,Los Angeles,CA,www.cdrewu.edu,www.cdrewu.edu/Calculators,21
278,112075,2070500,20705,Concordia University-Irvine,Irvine,CA,www.cui.edu,www.cui.edu/studentlife/financial-aid/undergraduate/index.aspx?id=21911,12
279,112084,1203100,12031,San Diego Christian College,El Cajon,CA,www.sdcc.edu,www.sdcc.edu/NetPriceCalc/npcalc.htm,21
280,112127,116500,1165,Church Divinity School of the Pacific,Berkeley,CA,www.cdsp.edu,www.cdsp.edu,12
281,112172,116600,1166,Citrus College,Glendora,CA,www.citruscollege.edu,www.citruscollege.edu/stdntsrv/finaid/Documents/NetPriceCalculator.mht,21
282,112181,2178700,21787,Citrus Heights Beauty College,Citris Heights,CA,www.chbeautycollege.com,www.chbeautycollege.com,21
283,112190,450200,4502,City College of San Francisco,San Francisco,CA,www.ccsf.edu,www.ccsf.edu/Services/Financial_Aid,11
284,112251,116900,1169,Claremont Graduate University,Claremont,CA,www.cgu.edu,www.cgu.edu/custom/finaid/pages/5263.asp,21
285,112260,117000,1170,Claremont McKenna College,Claremont,CA,www.claremontmckenna.edu/,npc.collegeboard.org/student/app/claremontmckenna,21
286,112288,2497300,24973,Milan Institute-Visalia,Visalia,CA,www.milaninstitute.edu,www.milaninstitute.edu,12
287,112367,2309500,23095,Clovis Adult Education,Clovis,CA,www.clovisadultschool.com,www.clovisadultschool.com/,21
288,112385,2063500,20635,Coastline Community College,Fountain Valley,CA,www.coastline.edu,webprod.cccco.edu/npc/831/npcalc.htm,13
289,112394,117700,1177,Cogswell College,Sunnyvale,CA,www.cogswell.edu,www.cogswell.edu/financial-aid/npcalc.htm,12
290,112446,729600,7296,Coleman University,San Diego,CA,www.coleman.edu,www.coleman.edu/prospective-students/fa-calculator/index.htm,11
291,112455,3577300,35773,COBA Academy,Orange,CA,www.coba.edu,www.coba.edu/fees.html,12
292,112525,2482700,24827,Western University of Health Sciences,Pomona,CA,www.westernu.edu,www.westernu.edu/financial-budgets,21
293,112561,770700,7707,Columbia College,Sonora,CA,www.gocolumbia.edu/,webprod.cccco.edu/npc/591/npcalc.htm,41
294,112570,2110200,21102,Columbia College-Hollywood,Tarzana,CA,www.columbiacollege.edu,www.columbiacollege.edu/financial-aid/net-price-calculator,11
